Relation	Sentence	NER1	NER2
director	<e1>The Battle of the Sexes</e1> is a 1928 American comedy film directed by <e2>D. W. Griffith</e2>, starring Jean Hersholt, Phyllis Haver, Belle Bennett, Don Alvarado, and Sally O'Neil, and released by United Artists.	WORK_OF_ART	PERSON
director	<e1>The Day of Faith</e1> is a 1923 American silent drama film directed by <e2>Tod Browning</e2>.	WORK_OF_ART	PERSON
director	<e1>The Straight Story</e1> is a 1999 biographical road drama film directed by <e2>David Lynch</e2>.	WORK_OF_ART	PERSON
director	Baltz starred in "<e2>Paul Thomas Anderson</e2>"'s directorial debut in the 1993 short film "<e1>Cigarettes & Coffee</e1>".	WORK_OF_ART	PERSON
director	He also appeared in <e2>Clint Eastwood</e2>'s movie "<e1>Heartbreak Ridge</e1>" in 1986 as Private Aponte.	WORK_OF_ART	PERSON
director	He later played Jeff, the temperamental bisexual film director in "<e1>Beware of a Holy Whore</e1>" (1971), directed by <e2>Rainer Werner Fassbinder</e2>.	WORK_OF_ART	PERSON
director	He is briefly interviewed in <e2>Peter Jackson</e2>'s <e1>King Kong</e1> Production Diaries.	WORK_OF_ART	PERSON
director	<e1>The Lord of the Rings: The Fellowship of the Ring</e1> is a 2001 epic fantasy adventure film directed by <e2>Peter Jackson</e2>, based on the first volume of J. R. R. Tolkien's "The Lord of the Rings".	WORK_OF_ART	PERSON
director	In 1977 it was remade by <e2>Rainer Werner Fassbinder</e2> for German television as "<e1>Women in New York</e1>".	WORK_OF_ART	PERSON
director	Scenes from the Academy Award-winning <e2>Frank Capra</e2> film "<e1>Mr. Smith Goes to Washington</e1>" are also used.	WORK_OF_ART	PERSON
director	He also starred in "<e1>Wine War</e1>", the directorial debut of <e2>Leon Lai</e2>.	WORK_OF_ART	PERSON
director	<e1>White Legion</e1> is a 1936 American drama film written and directed by <e2>Karl Brown</e2>.	WORK_OF_ART	PERSON
director	<e1>Bud's Recruit</e1> is a 1918 American short comedy film directed by <e2>King Vidor</e2>.	WORK_OF_ART	PERSON
director	The collection includes the hard-to-find <e2>Alfred Hitchcock</e2> silent film "<e1>Downhill</e1>".	WORK_OF_ART	PERSON
director	<e1>The Crowd</e1> was conceived by director <e2>King Vidor</e2> and filmed after the success of his previous film, the critically acclaimed box office success "The Big Parade".	WORK_OF_ART	PERSON
director	When she and her husband moved to Hollywood she became associated with <e2>John Ford</e2>, appearing in several of his films, notably "How Green Was My Valley", "<e1>Two Rode Together</e1>" and "Fort Apache".	WORK_OF_ART	PERSON
director	Ando has appeared in films such as <e2>Takeshi Kitano</e2>'s "<e1>Kids Return</e1>" (1996), Kinji Fukasaku's "Battle Royale" (2000), Takashi Miike's "Sukiyaki Western Django" (2007), and Chen Kaige's "Forever Enthralled" (2008).	WORK_OF_ART	PERSON
director	Aa Gaye <e1>Munde U.K. De</e1> or Munde U.K. De 2 (English: Here Comes The UK Boys.) is a 2014 Punjabi romantic comedy film directed by <e2>Manmohan Singh</e2> and produced by Sunny Trehan/Trehan Productions.	WORK_OF_ART	PERSON
director	Let's Call the Whole Thing Off is then played, described as a "burlesque rendering" of <e2>Robert Siodmak</e2>'s 1944 film "<e1>Cobra Woman</e1>".	WORK_OF_ART	PERSON
director	<e1>Mother Machree</e1> is a 1928 silent film, directed by <e2>John Ford</e2>, based on the 1924 work "The Story of Mother Machree" by Rida Johnson Young about a poor Irish immigrant in America.	WORK_OF_ART	PERSON
director	The bridge featured in the 1998 <e2>Jackie Chan</e2> film "<e1>Who Am I?</e1>".	WORK_OF_ART	PERSON
director	The Treasure of the Aztecs (German: <e1>Der Schatz der Azteken</e1>) is a 1965 western adventure film directed by <e2>Robert Siodmak</e2> and starring Lex Barker, Gérard Barray and Michèle Girardon.	WORK_OF_ART	PERSON
director	In <e2>Federico Fellini</e2>'s <e1>Amarcord</e1>, where it is featured as the "Grand Hotel of Rimini" and even appears on the original poster of the film designed by John Alcorn.	WORK_OF_ART	PERSON
director	In 1986, <e2>Jonathan Demme</e2> directed a film of Gray’s acclaimed monologue, <e1>Swimming to Cambodia</e1>, which Shafransky produced.	WORK_OF_ART	PERSON
director	He worked with director <e2>Woody Allen</e2> in his 1973 film "<e1>Sleeper</e1>".	WORK_OF_ART	PERSON
director	<e1>Shubho Mahurat</e1> (2003) is an Indian Bengali detective mystery film directed by <e2>Rituparno Ghosh</e2>.	WORK_OF_ART	PERSON
director	The event inspired the 1976 <e2>Clint Eastwood</e2> film "<e1>The Outlaw Josey Wales</e1>".	WORK_OF_ART	PERSON
director	<e1>Romantic Comedy 101</e1> is a Canadian comedy / romance television film directed by <e2>Peter DeLuise</e2> and starring Natalia Cigliuti.	WORK_OF_ART	PERSON
director	The novel was adapted as the 1993 movie "<e1>Schindler's List</e1>" by <e2>Steven Spielberg</e2>.	WORK_OF_ART	PERSON
director	<e1>The Valet's Wife</e1> is a 1908 American silent short drama film directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	He also produced the <e2>M. Night Shyamalan</e2> films "<e1>The Happening</e1>" and "The Last Airbender".	WORK_OF_ART	PERSON
director	<e1>Mr. Doctor</e1> () is a 1916 Hungarian film directed by <e2>Michael Curtiz</e2>.	WORK_OF_ART	PERSON
director	The Paul Whiteman recording was featured in the Oprah Winfrey movie "<e1>The Color Purple</e1>" (1985), directed by <e2>Steven Spielberg</e2>.	WORK_OF_ART	PERSON
director	<e1>The Prisoners of Shanghai</e1> () is a 1927 German silent drama film directed by <e2>Géza von Bolváry</e2> and Augusto Genina and starring Carmen Boni, Jack Trevor, and Bernhard Goetzke.	WORK_OF_ART	PERSON
director	<e1>The Fight for Freedom</e1> is a 1908 Western film probably directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	The most famous is 1939's "<e1>Wuthering Heights</e1>", starring Laurence Olivier and Merle Oberon and directed by <e2>William Wyler</e2>.	WORK_OF_ART	PERSON
director	<e1>Kamikaze Taxi</e1> (stylized as KAMIKAZE TAXI in Japan) is a 1995 Japanese action and crime film by director <e2>Masato Harada</e2>.	WORK_OF_ART	PERSON
director	<e1>The Stronger Love</e1> is a 1916 American drama silent film directed by <e2>Frank Lloyd</e2>, written by Julia Crawford Ivers, and starring Vivian Martin, Edward Peil, Sr., Frank Lloyd, Jack Livingston, Alice Knowland, and Herbert Standing.	WORK_OF_ART	PERSON
director	<e1>The Voice of the Child</e1> is a 1911 American drama film directed by <e2>D. W. Griffith</e2> and starring Blanche Sweet.	WORK_OF_ART	PERSON
director	He was nominated for an Academy Award for his work on <e2>Mark Robson</e2>'s "<e1>Peyton Place</e1>" in 1957.	WORK_OF_ART	PERSON
director	The screen test was sent to director <e2>William Wyler</e2> and led to her casting as Princess Ann in "<e1>Roman Holiday</e1>".	WORK_OF_ART	PERSON
director	He was the brother of actor John Landers Stevens and uncle of Jack Landers Stevens and <e2>George Stevens</e2>, director of such films as "Shane", "<e1>Giant</e1>" and "The Greatest Story Ever Told".	WORK_OF_ART	PERSON
director	<e1>Road Gang</e1> is a 1936 film directed by <e2>Louis King</e2>, written by Dalton Trumbo, produced by Bryan Foy, and starring Donald Woods and Kay Linaker.	WORK_OF_ART	PERSON
director	Roles in "The Linguini Incident", <e2>Woody Allen</e2>'s "<e1>Shadows and Fog</e1>" and Steve Buscemi's "Trees Lounge" followed.	WORK_OF_ART	PERSON
director	Damon contacted <e2>Gus Van Sant</e2>, who directed him in the 1997 film "<e1>Good Will Hunting</e1>", and Van Sant joined the project as director.	WORK_OF_ART	PERSON
director	Some sources state he worked on <e2>D. W. Griffith</e2>'s ground-breaking epic "<e1>The Birth of a Nation</e1>".	WORK_OF_ART	PERSON
director	<e1>Married to the Mob</e1> is a 1988 American comedy film directed by <e2>Jonathan Demme</e2>, starring Michelle Pfeiffer and Matthew Modine.	WORK_OF_ART	PERSON
director	<e1>The Dubarry</e1> () is a 1951 German musical film directed by Georg Wildhagen and <e2>Reinhold Schünzel</e2> and starring Sari Barabas, Willy Fritsch and Albert Lieven.	WORK_OF_ART	PERSON
director	Diaz first part in front of the camera was an uncredited role as a Japanese General in <e1>American Guerrilla in the Philippines</e1> (1950) directed by <e2>Fritz Lang</e2>.	WORK_OF_ART	PERSON
director	<e1>Boccaccio</e1> is a 1920 film directed by <e2>Michael Curtiz</e2>.	WORK_OF_ART	PERSON
director	<e1>Mountain Justice</e1> is a 1937 film directed by <e2>Michael Curtiz</e2>.	WORK_OF_ART	PERSON
director	<e1>Blood on the Sun</e1> is a 1945 American war film directed by <e2>Frank Lloyd</e2> and starring James Cagney and Sylvia Sidney.	WORK_OF_ART	PERSON
director	Sato starred in <e2>Hideaki Anno</e2>'s 2004 comedy film "<e1>Cutie Honey</e1>" and Koji Shiraishi's 2007 horror film "Carved".	WORK_OF_ART	PERSON
director	<e1>The Buddy Games</e1> is a 2019 comedy film directed by <e2>Josh Duhamel</e2>, in his directorial debut.	WORK_OF_ART	PERSON
director	This was dramatized in <e2>Steven Spielberg</e2>'s Academy Award-winning movie "<e1>Schindler's List</e1>", where he was played by Rami Heuberger.	WORK_OF_ART	PERSON
director	He went to Fox Studio for "<e1>Seas Beneath</e1>" (1931) directed by <e2>John Ford</e2>.	WORK_OF_ART	PERSON
director	In the 1959 film directed by <e2>William Wyler</e2>, <e1>Ben-Hur</e1> was played by Charlton Heston who won the Academy Award for Best Actor.	WORK_OF_ART	PERSON
director	The game is inspired by an idea originally created for <e2>Steven Spielberg</e2>'s "<e1>Amazing Stories</e1>" series.	WORK_OF_ART	PERSON
director	Loeb gave Hawke the Juan Patiño-produced version of "Stay (I Missed You);" he in turn gave it to director <e2>Ben Stiller</e2> during the making of the 1994 film "<e1>Reality Bites</e1>," with Stacy Sher.	WORK_OF_ART	PERSON
director	<e1>The Pirate's Gold</e1> is a 1908 American silent short drama film directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	<e1>True Crime</e1> is a 1999 American mystery drama film directed by <e2>Clint Eastwood</e2>, and based on Andrew Klavan's 1995 novel of the same name.	WORK_OF_ART	PERSON
director	<e1>Space Cowboys</e1> is a 2000 American adventure drama film directed and produced by <e2>Clint Eastwood</e2>.	WORK_OF_ART	PERSON
director	Ting was also inspired by <e2>Richard Linklater</e2>'s "<e1>Before Sunrise</e1>".	WORK_OF_ART	PERSON
director	A concert film, "<e1>Neil Young Trunk Show</e1>", directed by <e2>Jonathan Demme</e2>, captured a 2007 performance in Philadelphia.	WORK_OF_ART	PERSON
director	She starred in "<e1>The Children's Hour</e1>" (1961), also starring Audrey Hepburn and James Garner, based on the play by Lillian Hellman, and directed by <e2>William Wyler</e2>.	WORK_OF_ART	PERSON
director	For them he made "<e1>Black Magic</e1>" (1949), a film with <e2>Orson Welles</e2> which was shot in Rome.	WORK_OF_ART	PERSON
director	His film "Julia" (2008) is based on <e2>John Cassavetes</e2>' 1980 film "<e1>Gloria</e1>".	WORK_OF_ART	PERSON
director	<e2>Gus Van Sant</e2>'s 1991 film "<e1>My Own Private Idaho</e1>" is loosely based on both parts of "Henry IV".	WORK_OF_ART	PERSON
director	<e1>The Beaver</e1> is a 2011 dark comedy film directed by <e2>Jodie Foster</e2> and written by Kyle Killen.	WORK_OF_ART	PERSON
director	<e1>The Blind Princess and the Poet</e1> is a 1911 American short silent drama film directed by <e2>D. W. Griffith</e2> and starring Blanche Sweet.	WORK_OF_ART	PERSON
director	<e1>Jean the Tenant</e1> () is a 1917 Hungarian film directed by <e2>Michael Curtiz</e2>.	WORK_OF_ART	PERSON
director	<e1>Illegal Traffic</e1> is a 1938 American crime film directed by <e2>Louis King</e2> and written by Robert Yost, Lewis R. Foster and Stuart Anthony.	WORK_OF_ART	PERSON
director	The special features included some of the following; "<e1>The Diary of Anne Frank</e1>: Echoes From the Past" featurette, a press conference with director <e2>George Stevens</e2>, MovieTone news announcing public appearances by Millie Perkins, a screen test, and an audio commentary by Millie Perkins and George Stevens Jr, the director's son.	WORK_OF_ART	PERSON
director	Writer-director <e2>George Lucas</e2>'s "<e1>American Graffiti</e1>", a Universal production, did something similar.	WORK_OF_ART	PERSON
director	<e1>Under the Big Top</e1> is a 1938 American film directed by <e2>Karl Brown</e2>.	WORK_OF_ART	PERSON
director	Aldo Valletti (1930-1992) was an Italian film actor best known for the role of President Curval in "<e1>Salò, or the 120 Days of Sodom</e1>", directed by <e2>Pier Paolo Pasolini</e2>.	WORK_OF_ART	PERSON
director	His first credited role is in <e2>George Clooney</e2>'s show "<e1>Catch-22</e1>" (2019), where he plays a background character, Snowden.	WORK_OF_ART	PERSON
director	<e1>Terror Mountain</e1> is a 1928 American silent Western film directed by <e2>Louis King</e2> and written by Frank Howard Clark and Helen Gregg.	WORK_OF_ART	PERSON
director	<e1>The Song Is Ended</e1> () is a 1930 German romantic musical film directed by <e2>Géza von Bolváry</e2>, and starring Liane Haid, Willi Forst, and Margarete Schlegel.	WORK_OF_ART	PERSON
director	Following the success of the soundtrack of "Kattradhu Thamizh", director <e2>Ram</e2> collaborated with composer Yuvan Shankar Raja and lyricist Na. Muthukumar again, for the soundtrack and score for "<e1>Thanga Meenkal</e1>".	WORK_OF_ART	PERSON
director	<e1>The Irresistible Man</e1> () is a 1937 German romantic comedy film directed by <e2>Géza von Bolváry</e2> and starring Anny Ondra, Hans Söhnker, and Trude Hesterberg.	WORK_OF_ART	PERSON
director	<e1>Ashes of Vengeance</e1> is a 1923 American drama film directed by <e2>Frank Lloyd</e2> and starring Norma Talmadge and Wallace Beery.	WORK_OF_ART	PERSON
director	<e1>Coriolanus</e1> is a 2011 British film adaptation of William Shakespeare's tragedy "Coriolanus", written by John Logan and directed by and starring <e2>Ralph Fiennes</e2>, who plays the titular character.	WORK_OF_ART	PERSON
director	He appeared in <e2>Orson Welles</e2>'s all-Black Federal Theatre Project production of "<e1>Macbeth</e1>".	WORK_OF_ART	PERSON
director	<e1>The Lucky Transfer</e1> is a 1915 American short drama film directed by <e2>Tod Browning</e2>.	WORK_OF_ART	PERSON
director	She appeared in <e2>John Ford</e2>'s "<e1>Cheyenne Autumn</e1>" released in 1964.	WORK_OF_ART	PERSON
director	In June 1982, the <e2>Steven Spielberg</e2>–directed science fiction film "<e1>E.T. the Extra-Terrestrial</e1>" was released to cinemas.	WORK_OF_ART	PERSON
director	<e1>Beastly Boyz</e1> is a 2006 homoerotic horror television film directed by <e2>David DeCoteau</e2>.	WORK_OF_ART	PERSON
director	The legendary filmmaker, <e2>Satyajit Ray</e2>, used the picturesque campus of the college for his award winning film, <e1>Seemabaddha</e1>.	WORK_OF_ART	PERSON
director	<e1>Wine, Women and Horses</e1> is a 1937 American drama film directed by <e2>Louis King</e2> and written by Roy Chanslor.	WORK_OF_ART	PERSON
director	<e1>The Horse Soldiers</e1> is a 1959 American adventure war western film set during the American Civil War directed by <e2>John Ford</e2> and starring John Wayne, William Holden and Constance Towers.	WORK_OF_ART	PERSON
director	The story of the film was similar to that of the film "<e1>Parampara</e1>", directed by <e2>Yash Chopra</e2>.	WORK_OF_ART	PERSON
director	In the 1974 disaster film "<e1>Earthquake</e1>", Lathrop made director <e2>Mark Robson</e2>’s vision of the movie come true.	WORK_OF_ART	PERSON
director	In 2010, Widecombe-in-the-Moor was one of the filming locations for the <e2>Steven Spielberg</e2> film "<e1>War Horse</e1>".	WORK_OF_ART	PERSON
director	In 1937, <e2>John Ford</e2> was hired to direct the sepia-toned "<e1>Wee Willie Winkie</e1>" (Temple's own favorite), and an A-list cast was signed that included Victor McLaglen, C. Aubrey Smith and Cesar Romero.	WORK_OF_ART	PERSON
